SKU,Goods In
39473090-C-DE,188.0
39473090-C-DK,80.0
39473090-DE,1500.0
A920Pro-2AW-RE6-20EU,10200.0
A920Pro-2AW-RE6-20EU-C-FR,1840.0
A920Pro-2AW-RE6-20EU-C-UK,200.0
CA-CD330-48B,3100.0
Cposx5-C-DE,954.0
Cposx5-C-DK,358.0
Cposx5-C-IT,290.0
Cposx5-DE,300.0
Cposx5-FI,168.0
FP_SK_EVA_Black,11.0
Silicone_cover_white,4800.0
Sim-CPOS-2MM,200.0
"Sim-Terminal-1,5MM",50000.0
TB32BXU-C-DK,280.0
TB32BXU-C-FR,1000.0
TB32BXU-DK,778.0
TH13-B,300.0
Terminal stand White,550.0
VL305.741,3210.0
VL308.096,882.0
silicone_cover_black,2800.0
